dt,title
2013-10-13 00:00:00,Bağış’tan Hüseyin Çelik eleştirisi: “Şık olmadı”
2013-10-19 00:00:00,Davutoğlu: “Kimse tehdit edemez”
2013-10-20 00:00:00,Rektör: “Gezi eylemleri dinsizlerin işi”
2013-10-21 00:00:00,Başbakan’dan Gülen’e geçmiş olsun telefonu
2013-10-21 00:00:00,Yalçın Akdoğan’dan Fidan’a destek tweeti
2013-10-24 00:00:00,Fethullah Gülen’den iki sayfalık teşekkür ilanı
2013-10-24 00:00:00,AVM açılışında ODTÜ tepkisi
2013-10-25 00:00:00,ABD’li kuruluştan Türkiye raporu
2013-10-28 00:00:00,Füze ihalesinde teklif süresi uzatıldı mı?
2013-10-29 00:00:00,Gül’den “Meclis’te başörtüsü” mesajı
2013-10-31 00:00:00,FEMEN’in üç üyesi gruptan ayrıldı
2013-11-01 00:00:00,Yükselir’den Pavey ile ilgili şoke eden tweet
2013-11-04 00:00:00,Dumansız hava sahası genişliyor
2013-11-05 00:00:00,Leopar doldurularak sergilenecek
2013-11-05 00:00:00,Köprü kapandı; Woods tarihi atış gerçekleştirdi
2013-11-07 00:00:00,Melis’e uygun ilik bulundu
2013-11-08 00:00:00,Leopardan sonra çizgili sırtlan görüldü
2013-11-08 00:00:00,CNN’den “El Kaide Türkiye’ye akıyor” iddiası
2013-11-13 00:00:00,“Parti kurma” iddiasına cemaatten yalanlama
2013-11-14 00:00:00,Bloomberg: “Paranoyak laikler haklı çıkıyor”
2013-11-18 00:00:00,Gülen bu kez itidal çağrısı yaptı
2013-11-19 00:00:00,Öldürülen leopar İran parsı çıktı
2013-11-19 00:00:00,“Gezi’den onur duydum” haberini yalanladı
2013-11-19 00:00:00,Başbakan’dan “Kürdistan” açıklaması
2013-11-20 00:00:00,İstanbul için deprem uyarısı
2013-11-21 00:00:00,Winamp tarihe karışıyor
2013-11-22 00:00:00,Şarkıcı Emrah Twitter’dan hisse aldı
2013-11-22 00:00:00,Ali Babacan: “Gezi’den çok şey öğrendik”
2013-11-22 00:00:00,Arınç: “1.5 yıl sonra siyaseti bırakıyorum”
2013-11-25 00:00:00,Kadına Yönelik Şiddetle Mücadele Günü
2013-11-25 00:00:00,“Polis intiharlarını sosyal medya arttırıyor”
2013-11-26 00:00:00,Kılıçdaroğlu: “Türk demokrasisi tehlikede”
2013-11-27 00:00:00,Sözcü’den CHP’ye “ABD gezisi” tepkisi
2013-11-30 00:00:00,Kemal Kılıçdaroğlu ABD’ye gitti
2013-11-30 00:00:00,Gülen: “Kolum kanadım kırıldı”
2013-12-02 00:00:00,Kılıçdaroğlu: “Obama ile birbirimize benziyoruz”
2013-12-02 00:00:00,CHP lideri Sarıgül’ün adaylığını açıkladı mı?
2013-12-03 00:00:00,Gezi iddianamesinde çarpıcı ifadeler
2013-12-04 00:00:00,CHP ABD’de Gülen Cemaati ile buluştu
2013-12-04 00:00:00,Bryant ve Messi yine THY reklamında
2013-12-05 00:00:00,İnternet oylamasında Erdoğan ikinci oldu
2013-12-08 00:00:00,Sarıgül: “12 Aralık’ta İBB başkan adayıyım”
2013-12-09 00:00:00,Gülen’in önlediği seks skandalı
2013-12-09 00:00:00,Selvi’den Gülen’e “dön” çağrısı ve kaset iddiası
2013-12-10 00:00:00,Bütçe maratonunda gündem Sayıştay
2013-12-11 00:00:00,Gülen’den gerilimin dozunu düşürecek sözler
2013-12-15 00:00:00,THY müdüründen tepki çeken “Gülen” tweeti
2013-12-17 00:00:00,Suriye’de Türk gazeteci kaçırıldı
2013-12-18 00:00:00,Halkbank hakkında çarpıcı iddialar
2013-12-19 00:00:00,Kılıçdaroğlu ABD elçisiyle buluştu
2013-12-20 00:00:00,“Sabah ve ATV satıldı” kaosu
2013-12-20 00:00:00,Dolar tarihi zirvede; Merkez’den hamle
2013-12-20 00:00:00,Kılıçdaroğlu: “Bunların ar damarı çatlamış”
2013-12-21 00:00:00,Erdoğan: “Hükümete karşı uluslararası adım”
2013-12-21 00:00:00,“Operasyon ABD oyunu”; Büyükelçi’ye ağır itham
2013-12-21 00:00:00,ABD Büyükelçisi: “Tümü yalan ve İftira”
2013-12-22 00:00:00,Erdoğan: “Halkbank’ı yedirmeyeceğiz”
2013-12-23 00:00:00,Zarrab’ın gizemli ortağı Zencani
2013-12-24 00:00:00,ABD’li yetkili: “Tansiyonu yükseltmek istemiyoruz”
2013-12-24 00:00:00,“Haber servisi” iddiasına AK Parti’den yalanlama
2013-12-25 00:00:00,ABD’den büyükelçi haberlerine iki sert tepki
2013-12-25 00:00:00,İşte kabinenin 10 yeni üyesi
2013-12-30 00:00:00,Dilipak: “Komplonun ucu Vatikan’a uzanıyor”
2013-12-30 00:00:00,Yargıtay’dan Şahin’in iddiasına açıklama
2013-12-30 00:00:00,El Kadı hakkında çarpıcı iddia
2013-12-31 00:00:00,2013′te yaprak dökümü
2014-01-03 00:00:00,Bulut: “Türkiye 2014′te süper güç olacak”
2014-01-05 00:00:00,Gülerce: “Büyük sıkıntılar yaşayacağız”
2014-01-05 00:00:00,Fehmi Koru: “Mektup teklifi benden geldi”
2014-01-06 00:00:00,Egemen Bağış’tan “Hayko Cepkin” şakası
2014-01-09 00:00:00,Popüler video sitesi Vimeo yasaklandı
2014-01-13 00:00:00,Gülen’den dinlemelere suç duyurusu
2014-01-13 00:00:00,Davutoğlu: “Yürütme hesap verebilir olmalı”
2014-01-13 00:00:00,Atatürk’ün yatı Savarona devletin oluyor
2014-01-14 00:00:00,Kerry: “Ahmet sen mi açıklarsın ben mi?”
2014-01-16 00:00:00,AK Parti’de Çetin’e ihraç istemi
2014-01-18 00:00:00,Özkök’ten MİT’e: “Milleti tufaya ya mı getirdin?”
2014-01-18 00:00:00,Suriye’li muhalifler “Cenevre-2″ ye katılıyor
2014-01-21 00:00:00,Gülen’den partileşme ve CHP açıklaması
2014-01-21 00:00:00,Yıldırım: “Cemaati hedef almadım”
2014-01-23 00:00:00,Gülen’in avukatı: “Yeni kayıtlar servis edilecek”
2014-01-23 00:00:00,“Tarafsız Bölge”de yoğun gündem konuşuldu
2014-01-25 00:00:00,FBI Reza Zarrab’ın ensesinde
2014-01-27 00:00:00,Gülen’in tansiyon ölçümü gündem oldu
2014-01-27 00:00:00,NY Times’dan Erdoğan’a sert eleştiri
2014-01-28 00:00:00,Başbakan’dan Cemaat’e “maşa” suçlaması
2014-01-28 00:00:00,Başbakanlık: “Erdoğan’ın sözleri aslında…”
2014-01-30 00:00:00,Gülen’e ait yeni ses kayıtları mı var?
2014-01-30 00:00:00,Doların yükselişi devam ediyor
2014-01-30 00:00:00,Hologramlı görüntü gündemden düşmüyor
2014-01-30 00:00:00,Tarafsız Bölge’de ekonomi tartışıldı
2014-01-31 00:00:00,Taraf’tan “B planı MB’ye müdahale” iddiası
2014-01-31 00:00:00,Ünlü ekonomistten Türkiye uyarısı
2014-01-31 00:00:00,Gülen’in avukatı: “Montaj ve kara propaganda”
2014-02-01 00:00:00,ABD Büyükelçiliği’nden Gökçek’e yalanlama
2014-02-02 00:00:00,Bayık: “Cemaat ile ABD birlikte; hedef Erdoğan”
2014-02-03 00:00:00,Freedom House’dan Türkiye’ye kırık not
2014-02-04 00:00:00,Neden Julianne Moore seçildi?
2014-02-05 00:00:00,Başbakan Gezi sorumlularını ağlattı mı?
2014-02-06 00:00:00,Cemaat’e “Pensilvanya Partisi” önerisi
2014-02-07 00:00:00,Vali Mutlu’dan “ağlatma” iddiasına yanıt
2014-02-07 00:00:00,S&P’den Türkiye’ye kötü haber
2014-02-10 00:00:00,CHP’de Beyoğlu’nda kadın dayanışması
2014-02-10 00:00:00,Kanal D’de yeni şarkı yarışması: X Factor
2014-02-13 00:00:00,FED: “En kırılgan ülke Türkiye”
2014-02-14 00:00:00,Aman bugün sevgilinizi unutmayın…
2014-02-17 00:00:00,Bugün Dünya Kediler Günü
2014-02-18 00:00:00,Gülen ve Aydın Doğan’la ilgili ses kaydı
2014-02-19 00:00:00,Başbakan seçim kampanyasını başlattı
2014-02-21 00:00:00,Dünya Anadil Günü kutlanıyor
2014-02-21 00:00:00,Hava Kuvvetleri’ne yeni soluk
2014-02-21 00:00:00,Eski AK Partili vekil ile THY arasında kriz
2014-02-24 00:00:00,Gülen: “Dinletenler cezalandırılsın”
2014-02-25 00:00:00,Obama’ya Gülen sitemi
2014-02-25 00:00:00,“ABD’den ses kaydı raporu” iddiası
2014-02-27 00:00:00,Deniz Gezmiş’in 67′nci doğum günü
2014-03-04 00:00:00,Rus savaş gemileri İstanbul Boğazı’nda
2014-03-04 00:00:00,Erdoğan Putin ile telefonda görüştü
2014-03-05 00:00:00,Başbakan: “Gülen Humeyni gibi dönecekti”
2014-03-06 00:00:00,Kırım adım adım Rusya’ya katılıyor
2014-03-07 00:00:00,ABD savaş gemisi Karadeniz’e açıldı
2014-03-07 00:00:00,Başbakan: “Alevi hakim’ sözü montaj”
2014-03-11 00:00:00,Gülen’den Berkin için taziye mesajı
2014-03-11 00:00:00,Gülen: “Yeni Anayasa’ya ihtiyaç var”
2014-03-12 00:00:00,Davutoğlu: “Berkin BM’yi ilgilendirmez”
2014-03-14 00:00:00,SP’li aday: “Obama’nın selamı var”
2014-03-16 00:00:00,Talha bebek yaşamını yitirdi
2014-03-17 00:00:00,Gülen mülakatı yayınlandı: “Yakıştıramadım”
2014-03-19 00:00:00,Yeni Şafak Fidan-Gülen görüşmesini yazdı
2014-03-23 00:00:00,20 Mart’tan beri tek gündem Twitter
2014-03-23 00:00:00,Gül: “Mevzuat suç konusu sayfaları kapatmak”
2014-03-23 00:00:00,Başbakan: “Millet oynanan oyunu görüyor”
2014-03-23 00:00:00,Bakan Elvan’a canlı yayında tepki
2014-03-24 00:00:00,Dinleme tepkisi: “Haremimize giriyorlar”
2014-03-25 00:00:00,Erdoğan: “Suça bulaşanların inlerine gireceğiz”
2014-03-25 00:00:00,Birleşmiş Milletler’den Twitter açıklaması
2014-03-26 00:00:00,Kenan Işık’la ilgili son durum
2014-03-26 00:00:00,Melis Alphan’a TGC gazetecilik ödülü
2014-03-27 00:00:00,Baykal ile ilgili kaset tartışması sürüyor
2014-03-27 00:00:00,Star TV Ana Haber: “Facebook yasaklanıyor”
2014-03-28 00:00:00,Davutoğlu: “Jammer olan bir oda dinlendi”
2014-03-28 00:00:00,Gülen’in yeşil pasaportu 24 yıl sonra iptal edildi
2014-03-28 00:00:00,YouTube yasağının yankıları sürüyor
2014-04-02 00:00:00,Metiner: “Başbakanımız o koltuğa oturacak”
2014-04-03 00:00:00,Twitter kararı Resmi Gazete’de yayımlandı
2014-04-03 00:00:00,Kılıçdaroğlu İş Bankası’na atamaları savundu
2014-04-04 00:00:00,Başbakan: “AYM kararına saygı duymuyorum”
2014-04-04 00:00:00,Alparslan Türkeş ölümünün 17′inci yılında anıldı
2014-04-07 00:00:00,ABD Büyükelçisi’nden Gülen açıklaması
2014-04-08 00:00:00,Perinçek: “PKK dağıtılsın; genel af çıkabilir”
2014-04-09 00:00:00,TDK “Selfie”ye Türkçe karşılık arıyor
2014-04-10 00:00:00,Arınç: “TÜRGEV’e 100 milyon dolar bağış yapıldı”
2014-04-10 00:00:00,Star gazetesinden “ihanet mektubu” iddiası
2014-04-11 00:00:00,Çatıdaki eylemci işçiler gözaltına alındı
2014-04-11 00:00:00,Babacan’dan Aslan yorumu: “Siyasi iradenin tercihi”
2014-04-11 00:00:00,Hükümetten Moody’s tepkisi
2014-04-12 00:00:00,THY: “Milletvekili için hukuki işlem yapılacak”
2014-04-13 00:00:00,Semerci Gülen fotoğrafının hikayesini yazdı
2014-04-15 00:00:00,Eski AK Partili vekile THY bilet satmayacak
2014-04-17 00:00:00,Kadıköy – Kartal hattında vurgun iddiası
2014-04-19 00:00:00,Erdoğan: “Millet kendi başkanını seçecek”
2014-04-21 00:00:00,Erdoğan gurbetçi oyları için Avrupa turuna çıkacak
2014-04-22 00:00:00,Kaset tepkisi: “Düşman bile bu şerefsizliği yapmaz”
2014-04-24 00:00:00,Başbakan’ın açıklaması Ermenileri tatmin etmedi
2014-04-25 00:00:00,Selfie bu kez uzaydan geldi
2014-04-28 00:00:00,Sözcü’den TÜRGEV’le ilgili yeni iddia
2014-04-29 00:00:00,Gülen’in iadesi için düğmeye basılıyor
2014-04-29 00:00:00,Beşir Atalay: “İnşa halinde bir demokrasiyiz”
2014-04-30 00:00:00,ABD Gülen sorularını yanıtsız bıraktı
2014-04-30 00:00:00,Gülen hakkında soruşturma başlatıldı
2014-05-01 00:00:00,Göstericinin ayakkabı markası tartışması
2014-05-02 00:00:00,Türkiye “Basını özgür olmayan ülkeler” listesinde
2014-05-03 00:00:00,Gazeteciler basın özgürlüğü için yürüdü
2014-05-03 00:00:00,"Yiğit Bulut: “Devlet bir attır, hükümet de binicisidir”"
2014-05-04 00:00:00,Star’dan Freedom House raporuna tepki
2014-05-06 00:00:00,Deniz Gezmiş ve arkadaşları anıldı
2014-05-06 00:00:00,Fatih Altaylı’dan medyaya sert eleştiri
2014-05-07 00:00:00,Bakan Şimşek: “Twitter yasaklanmamalıydı”
2014-05-08 00:00:00,AK Parti’den “çatı aday” yorumu
2014-05-13 00:00:00,Başbakan’ın “cadı avı” çıkışı tartışma yarattı
2014-05-13 00:00:00,Erdoğan: “Türkiye’de basın özgürlüğü yok denemez”
2014-05-13 00:00:00,Bahçeli: “Baro Başkanı çaldı; Başbakan oynadı”
2014-05-14 00:00:00,Rihanna’dan Soma duyarlılığı
2014-05-15 00:00:00,Başbakanlık müşaviri: “Sükunetimi koruyamadım”
2014-05-17 00:00:00,Özkök: “Başbakan üslubunu değiştirse meseleler biter”
2014-05-21 00:00:00,İşte Soma’da kullanılan gaz maskeleri
2014-05-21 00:00:00,ABD’li uzman: “Facianın nedeni yanlış gaz maskesi”
2014-05-24 00:00:00,Medyaya “Altın Palmiye” tepkisi
